	BH90_04.00_170222	BP06_16.00_11_03_22	BP07_8.00_16_2_22	BP34_06.00_170222	BP34_08.00_170222	BP46_08.00_10_03_22	BP46_16.00_10_03_22	BP47_14.00_10_03_22	BP48_12.00_10_03_22	BP48_14.00_10_03_22	BP59_08.00_11_03_22	BP59_14.00_11_03_22	BP59_16.00	BP59_18.00_11_03_22	BP59_20.00_11_03_22	BP59_22.00_11_03_22	BP60_22.00_10_03_22	BP60_26.00_10_03_22	BP76_18.00_10_03_22	BP76_22.00_10_03_22	BP76_26.00_10_03_22	BP77_16.00_10_03_22	BP77_22.00_10_03_22	BP91_10.00_16_2_22	BP91_20.00_16_2_22	BP91_28.00_16_2_22	MWB05I_18_03_22	MWBO7I_18_03_22	MWD04D_16_2_22	MWD04I_16_2_22	MWD04S_16_2_22	MWD16_D_170222	MWD16_I_170222	MWD16_S_170222	MWF13D_11_03_22	MWF13I_11_03_22	MWF13S_11_03_22	MWF14D_18_03_22	MWF14I_18_03_22	MWF14S_18_03_22	QW016_D_170222	QW016_I_170222	WG269_D_170222	WG269_I_170222	BP49-06.00-10/03/22	QW016D-17/2/22	MWD16D-17/2/22	BP90-4.00-17/2/22	QW016I-17/2/22	WG269D-17/2/22	MWB07I-18/03/22	MWF13S-11/03/22	MWD16S-17/2/22	WG269I-17/2/22	MWD16I-17/2/22
"""trans-1,4-Dichloro-2-butene"""	0.1	0.005	0.1	0.05	0.005	0.02	0.02	0.02	0.02	0.02	0.001	0.005	0.2	0.02	0.05	0.005	0.05	0.05	0.005	0.005	0.2	0.005	0.005	0.02	0.02	1	0.005	0.001	0.1	0.001	0.05	0.005	0.02	0.005	0.02	0.02	0.001	0.02	0.005	0.001	0.02	0.02	0.5	0.2	0	0	0	0	0	0	0	0	0	0	0
Bromodichloromethane	0.1	0.005	0.1	0.05	0.005	0.02	0.02	0.02	0.02	0.02	0.001	0.005	0.2	0.02	0.05	0.005	0.05	0.05	0.005	0.005	0.2	0.005	0.005	0.02	0.02	1	0.005	0.001	0.1	0.001	0.05	0.005	0.02	0.005	0.02	0.02	0.001	0.02	0.005	0.001	0.02	0.02	0.5	0.2	0	0	0	0	0	0	0	0	0	0	0
Bromoform	0.1	0.005	0.1	0.05	0.005	0.02	0.02	0.02	0.02	0.02	0.001	0.005	0.2	0.02	0.05	0.005	0.05	0.05	0.005	0.005	0.2	0.005	0.005	0.02	0.02	1	0.005	0.001	0.1	0.001	0.05	0.005	0.02	0.005	0.02	0.02	0.001	0.02	0.005	0.001	0.02	0.02	0.5	0.2	0	0	0	0	0	0	0	0	0	0	0
Bromomethane	1	0.05	1	0.5	0.05	0.2	0.2	0.2	0.2	0.2	0.01	0.05	2	0.2	0.5	0.05	0.5	0.5	0.05	0.05	2	0.05	0.05	0.2	0.2	10	0.05	0.01	1	0.01	0.5	0.05	0.2	0.05	0.2	0.2	0.01	0.2	0.05	0.01	0.2	0.2	5	2	0	0	0	0	0	0	0	0	0	0	0
Carbon disulfide	0.1	0.046	0.1	1.94	0.154	0.121	1.7	0.718	1.17	1.82	0.006	0.026	0.363	0.111	0.694	0.011	0.699	0.05	0.035	0.181	0.2	0.046	0.038	0.02	0.02	1	0.335	0.008	0.1	0.001	0.05	0.046	0.02	0.327	0.092	0.1	0.015	0.714	0.084	0.005	0.37	0.051	0.5	0.2	0	0	0	0	0	0	0	0	0	0	0
Carbon tetrachloride	0.1	0.157	0.1	30.3	1.61	0.02	20	16.4	4.92	6.58	0.001	0.005	0.2	0.02	0.05	0.005	0.05	0.05	0.005	0.005	0.2	0.005	0.005	0.02	0.02	1	5.88	0.009	0.1	0.001	0.05	2.64	2.75	5.55	0.02	0.02	0.001	0.804	0.005	0.001	5.92	6.19	0.5	0.2	0	0	0	0	0	0	0	0	0	0	0
Chlorodibromomethane	0.1	0.005	0.1	0.05	0.005	0.02	0.02	0.02	0.02	0.02	0.001	0.005	0.2	0.02	0.05	0.005	0.05	0.05	0.005	0.005	0.2	0.005	0.005	0.02	0.02	1	0.005	0.001	0.1	0.001	0.05	0.005	0.02	0.005	0.02	0.02	0.001	0.02	0.005	0.001	0.02	0.02	0.5	0.2	0	0	0	0	0	0	0	0	0	0	0
Chloroethane	1	0.05	1	0.5	0.05	0.2	0.2	0.2	0.2	0.2	0.01	0.05	2	0.2	0.5	0.05	0.5	0.5	0.05	0.05	2	0.05	0.05	0.2	0.2	10	0.05	0.01	1	0.01	0.5	0.05	0.2	0.05	0.2	0.2	0.01	0.2	0.05	0.01	0.2	0.2	5	2	0	0	0	0	0	0	0	0	0	0	0
Chloroform	9.85	0.989	0.1	4.82	0.504	0.428	9.3	4.13	7.37	10.6	0.001	0.034	1.92	2.4	7.21	0.034	7.18	1.5	0.006	0.656	1.96	0.025	0.028	0.147	0.047	1	3.83	0.017	0.1	0.011	0.696	0.305	0.162	0.669	0.894	0.885	0.036	4.9	1.65	0.011	1.52	2.34	0.5	0.2	0	0	0	0	0	0	0	0	0	0	0
Chloromethane	1	0.05	1	0.5	0.05	0.2	0.2	0.2	0.2	0.2	0.01	0.05	2	0.2	0.5	0.05	0.5	0.5	0.05	0.05	2	0.05	0.05	0.2	0.2	10	0.05	0.01	1	0.01	0.5	0.05	0.2	0.05	0.2	0.2	0.01	0.2	0.05	0.01	0.2	0.2	5	2	0	0	0	0	0	0	0	0	0	0	0
